,Date,Total Traffic Volume,Base Interest Rate,Exchange Rate,Gross Domestic Product (GDP),Economic Growth Rate (Real GDP Growth Rate),Export price,Export growth rate,Import price,Import growth rate,Nationwide Consumer Price Index,Regular Unleaded Gasoline,Diesel Fuel for Automobiles,number of car ownership
85,2011-03-27,5877118,3,1075.564516,328096,5.4,48428096.3,24.69018327,44497841.65,26.25611965,89.31096774,1964.15,1790.78,18170435
86,2011-03-28,6227638,3,1074.751613,328096,5.4,48443891.28,24.51712661,44452865.53,26.71325047,89.31377419,1965.12,1792.4,18172024
87,2011-03-29,6250402,3,1073.93871,328096,5.4,48459686.26,24.34406994,44407889.41,27.17038129,89.31658065,1968.1,1795.25,18173613
88,2011-03-30,6258097,3,1073.125806,328096,5.4,48475481.24,24.17101327,44362913.29,27.62751211,89.3193871,1969.17,1796.87,18175202
89,2011-03-31,6229603,3,1072.312903,328096,5.4,48491276.22,23.9979566,44317937.16,28.08464293,89.32219355,1969.79,1798.01,18176791
90,2011-04-01,6744285,3,1071.5,343678.8,3.8,48507071.2,23.82489994,44272961.04,28.54177375,89.325,1970.48,1799.56,18178380
91,2011-04-02,6987777,3,1071.756667,343678.8,3.8,48522866.18,23.65184327,44227984.92,28.99890457,89.33073333,1970.9,1800.4,18179693
92,2011-04-03,6088540,3,1072.013333,343678.8,3.8,48531900.37,23.49279545,44192910.41,29.39719823,89.33646667,1971.06,1800.77,18181007
93,2011-04-04,6383474,3,1072.27,343678.8,3.8,48492541.54,23.43402149,44228710.61,29.37434169,89.3422,1971.28,1801.41,18182321
94,2011-04-05,6464474,3,1072.526667,343678.8,3.8,48453182.7,23.37524752,44264510.81,29.35148515,89.34793333,1971.37,1801.84,18183635
95,2011-04-06,6577184,3,1072.783333,343678.8,3.8,48413823.87,23.31647356,44300311.01,29.32862861,89.35366667,1970.92,1801.62,18184948
96,2011-04-07,5757511,3,1073.04,343678.8,3.8,48374465.04,23.2576996,44336111.21,29.30577207,89.3594,1955.8,1788.45,18186262
97,2011-04-08,6998424,3,1073.296667,343678.8,3.8,48335106.2,23.19892564,44371911.41,29.28291553,89.36513333,1949.64,1784.32,18187576
98,2011-04-09,7685800,3,1073.553333,343678.8,3.8,48295747.37,23.14015167,44407711.61,29.26005898,89.37086667,1946.93,1782.77,18188890
99,2011-04-10,6445664,3,1073.81,343678.8,3.8,48256388.54,23.08137771,44443511.81,29.23720244,89.3766,1945.99,1782.09,18190203
100,2011-04-11,6486259,3,1074.066667,343678.8,3.8,48217029.71,23.02260375,44479312.01,29.2143459,89.38233333,1943.65,1781.08,18191517
101,2011-04-12,6445323,3,1074.323333,343678.8,3.8,48177670.87,22.96382979,44515112.21,29.19148936,89.38806667,1945.13,1784.61,18192831
102,2011-04-13,6439645,3,1074.58,343678.8,3.8,48138312.04,22.90505582,44550912.41,29.16863282,89.3938,1944.77,1785.44,18194145
103,2011-04-14,6501186,3,1074.836667,343678.8,3.8,48098953.21,22.84628186,44586712.61,29.14577628,89.39953333,1944.59,1786.6,18195458
104,2011-04-15,6926605,3,1075.093333,343678.8,3.8,48059594.37,22.7875079,44622512.81,29.12291974,89.40526667,1944.45,1787.66,18196772
105,2011-04-16,7255536,3,1075.35,343678.8,3.8,48020235.54,22.72873394,44658313.01,29.1000632,89.411,1944.53,1788.78,18198086
106,2011-04-17,6358499,3,1075.606667,343678.8,3.8,47980876.71,22.66995997,44694113.21,29.07720666,89.41673333,1944.61,1789.18,18199400
107,2011-04-18,6199872,3,1075.863333,343678.8,3.8,47941517.87,22.61118601,44729913.41,29.05435012,89.42246667,1944.69,1790.13,18200714
108,2011-04-19,6388659,3,1076.12,343678.8,3.8,47902159.04,22.55241205,44765713.61,29.03149357,89.4282,1945.97,1792.02,18202027
109,2011-04-20,6482024,3,1076.376667,343678.8,3.8,47862800.21,22.49363809,44801513.81,29.00863703,89.43393333,1946.5,1793.58,18203341
110,2011-04-21,6552592,3,1076.633333,343678.8,3.8,47823441.38,22.43486412,44837314.01,28.98578049,89.43966667,1946.76,1794.59,18204655
111,2011-04-22,6401309,3,1076.89,343678.8,3.8,47784082.54,22.37609016,44873114.21,28.96292395,89.4454,1946.91,1795.48,18205969
112,2011-04-23,7255154,3,1077.146667,343678.8,3.8,47744723.71,22.3173162,44908914.41,28.94006741,89.45113333,1946.85,1796.02,18207282
113,2011-04-24,6206911,3,1077.403333,343678.8,3.8,47705364.88,22.25854224,44944714.61,28.91721087,89.45686667,1946.94,1796.24,18208596
114,2011-04-25,6573221,3,1077.66,343678.8,3.8,47666006.04,22.19976827,44980514.81,28.89435433,89.4626,1946.88,1796.83,18209910
115,2011-04-26,6000620,3,1077.916667,343678.8,3.8,47626647.21,22.14099431,45016315.01,28.87149779,89.46833333,1946.84,1796.62,18211224
116,2011-04-27,6321820,3,1078.173333,343678.8,3.8,47587288.38,22.08222035,45052115.21,28.84864125,89.47406667,1946.58,1796.56,18212537
117,2011-04-28,6604444,3,1078.43,343678.8,3.8,47547929.55,22.02344639,45087915.41,28.82578471,89.4798,1946.2,1796.45,18213851
118,2011-04-29,7080188,3,1078.686667,343678.8,3.8,47508570.71,21.96467242,45123715.61,28.80292817,89.48553333,1946.05,1796.45,18215165
119,2011-04-30,6080154,3,1078.943333,343678.8,3.8,47469211.88,21.90589846,45159515.82,28.78007162,89.49126667,1945.94,1796.29,18216479
120,2011-05-01,5709364,3,1079.2,343678.8,3.8,47429853.05,21.8471245,45195316.02,28.75721508,89.497,1945.74,1796.21,18217793
121,2011-05-02,6519956,3,1078.829032,343678.8,3.8,47390494.21,21.78835054,45231116.22,28.73435854,89.50258065,1945.82,1796.18,18219250
122,2011-05-03,6533780,3,1078.458065,343678.8,3.8,47351135.38,21.72957657,45266916.42,28.711502,89.50816129,1949.37,1796.49,18220707
123,2011-05-04,7241471,3,1078.087097,343678.8,3.8,47321686.79,21.52805983,45277467.85,28.64160522,89.51374194,1950.58,1796.62,18222165
124,2011-05-05,6574386,3,1077.716129,343678.8,3.8,47302277.15,21.18194649,45262442.61,28.5240573,89.51932258,1951.16,1796.76,18223622
125,2011-05-06,7251112,3,1077.345161,343678.8,3.8,47282867.5,20.83583316,45247417.38,28.40650937,89.52490323,1951.6,1796.75,18225080
126,2011-05-07,7930559,3,1076.974194,343678.8,3.8,47263457.86,20.48971982,45232392.14,28.28896145,89.53048387,1951.96,1796.77,18226537
127,2011-05-08,7835998,3,1076.603226,343678.8,3.8,47244048.21,20.14360649,45217366.9,28.17141352,89.53606452,1952.16,1796.73,18227994
128,2011-05-09,7070168,3,1076.232258,343678.8,3.8,47224638.57,19.79749315,45202341.67,28.0538656,89.54164516,1952.32,1796.6,18229452
129,2011-05-10,5391637,3,1075.86129,343678.8,3.8,47205228.93,19.45137982,45187316.43,27.93631767,89.54722581,1951.04,1793.96,18230909
130,2011-05-11,5918923,3,1075.490323,343678.8,3.8,47185819.28,19.10526648,45172291.19,27.81876975,89.55280645,1950.52,1792.8,18232367
131,2011-05-12,6426726,3,1075.119355,343678.8,3.8,47166409.64,18.75915315,45157265.95,27.70122182,89.5583871,1949.56,1790.71,18233824
132,2011-05-13,7196068,3,1074.748387,343678.8,3.8,47146999.99,18.41303981,45142240.72,27.5836739,89.56396774,1948.15,1787.82,18235282
133,2011-05-14,7474648,3,1074.377419,343678.8,3.8,47127590.35,18.06692648,45127215.48,27.46612597,89.56954839,1947.39,1785.79,18236739
134,2011-05-15,6375145,3,1074.006452,343678.8,3.8,47108180.71,17.72081315,45112190.24,27.34857805,89.57512903,1947.04,1784.87,18238196
135,2011-05-16,6609501,3,1073.635484,343678.8,3.8,47088771.06,17.37469981,45097165.01,27.23103012,89.58070968,1946.29,1783.11,18239654
136,2011-05-17,6569088,3,1073.264516,343678.8,3.8,47069361.42,17.02858648,45082139.77,27.1134822,89.58629032,1943.59,1778.22,18241111
137,2011-05-18,6561438,3,1072.893548,343678.8,3.8,47049951.77,16.68247314,45067114.53,26.99593427,89.59187097,1940.11,1772.25,18242569
138,2011-05-19,6517377,3,1072.522581,343678.8,3.8,47030542.13,16.33635981,45052089.3,26.87838635,89.59745161,1937.5,1767.27,18244026
139,2011-05-20,6841130,3,1072.151613,343678.8,3.8,47011132.49,15.99024647,45037064.06,26.76083842,89.60303226,1935.06,1762.75,18245483
140,2011-05-21,6944443,3,1071.780645,343678.8,3.8,46991722.84,15.64413314,45022038.82,26.6432905,89.6086129,1933.35,1759.31,18246941
141,2011-05-22,6074603,3,1071.409677,343678.8,3.8,46972313.2,15.2980198,45007013.58,26.52574257,89.61419355,1932.62,1757.85,18248398
142,2011-05-23,6463235,3,1071.03871,343678.8,3.8,46952903.55,14.95190647,44991988.35,26.40819465,89.61977419,1930.91,1754.54,18249856
143,2011-05-24,6515018,3,1070.667742,343678.8,3.8,46933493.91,14.60579313,44976963.11,26.29064672,89.62535484,1926.55,1749.77,18251313
144,2011-05-25,6585582,3,1070.296774,343678.8,3.8,46914084.27,14.2596798,44961937.87,26.1730988,89.63093548,1923.19,1745.71,18252771
145,2011-05-26,6268522,3,1069.925806,343678.8,3.8,46894674.62,13.91356646,44946912.64,26.05555087,89.63651613,1920.47,1742.22,18254228
146,2011-05-27,7144776,3,1069.554839,343678.8,3.8,46875264.98,13.56745313,44931887.4,25.93800295,89.64209677,1918.41,1739.59,18255685
147,2011-05-28,7553753,3,1069.183871,343678.8,3.8,46855855.33,13.22133979,44916862.16,25.82045502,89.64767742,1917.16,1737.94,18257143
148,2011-05-29,6224583,3,1068.812903,343678.8,3.8,46836445.69,12.87522646,44901836.93,25.7029071,89.65325806,1916.54,1736.77,18258600
149,2011-05-30,6622962,3,1068.441935,343678.8,3.8,46817036.05,12.52911312,44886811.69,25.58535917,89.65883871,1915.35,1735.38,18260058
150,2011-05-31,6289994,3,1068.070968,343678.8,3.8,46797626.4,12.18299979,44871786.45,25.46781125,89.66441935,1915.01,1734.45,18261515
151,2011-06-01,6117140,3.25,1067.7,343678.8,3.8,46778216.76,11.83688645,44856761.21,25.35026332,89.67,1913.48,1732.01,18262973
152,2011-06-02,6553615,3.25,1067.26,343678.8,3.8,46758807.11,11.49077312,44841735.98,25.2327154,89.6844,1912.61,1730.75,18264559
153,2011-06-03,7175886,3.25,1066.82,343678.8,3.8,46739397.47,11.14465979,44826710.74,25.11516747,89.6988,1912.19,1730.24,18266145
154,2011-06-04,7890751,3.25,1066.38,343678.8,3.8,46799834.79,11.38439014,44809737.91,25.15687803,89.7132,1911.84,1730.02,18267731
155,2011-06-05,7452010,3.25,1065.94,343678.8,3.8,46872101.3,11.71091216,44792476.56,25.22218243,89.7276,1911.62,1729.53,18269317
156,2011-06-06,7066663,3.25,1065.5,343678.8,3.8,46944367.81,12.03743417,44775215.2,25.28748683,89.742,1911.53,1729.38,18270904
157,2011-06-07,6646494,3.25,1065.06,343678.8,3.8,47016634.31,12.36395618,44757953.84,25.35279124,89.7564,1911.26,1729.63,18272490
158,2011-06-08,6533626,3.25,1064.62,343678.8,3.8,47088900.82,12.6904782,44740692.48,25.41809564,89.7708,1910.95,1729.45,18274076
159,2011-06-09,6527840,3.25,1064.18,343678.8,3.8,47161167.32,13.01700021,44723431.13,25.48340004,89.7852,1910.86,1729.4,18275662
160,2011-06-10,7147874,3.25,1063.74,343678.8,3.8,47233433.83,13.34352222,44706169.77,25.54870444,89.7996,1910.72,1729.3,18277248
161,2011-06-11,7367539,3.25,1063.3,343678.8,3.8,47305700.33,13.67004424,44688908.41,25.61400885,89.814,1910.82,1729.45,18278835
162,2011-06-12,6120502,3.25,1062.86,343678.8,3.8,47377966.84,13.99656625,44671647.05,25.67931325,89.8284,1910.89,1729.4,18280421
163,2011-06-13,6608758,3.25,1062.42,343678.8,3.8,47450233.34,14.32308827,44654385.69,25.74461765,89.8428,1910.99,1729.64,18282007
164,2011-06-14,6571956,3.25,1061.98,343678.8,3.8,47522499.85,14.64961028,44637124.34,25.80992206,89.8572,1912,1731.15,18283593
165,2011-06-15,6587767,3.25,1061.54,343678.8,3.8,47594766.35,14.97613229,44619862.98,25.87522646,89.8716,1912.99,1732.63,18285179
166,2011-06-16,6632851,3.25,1061.1,343678.8,3.8,47667032.86,15.30265431,44602601.62,25.94053086,89.886,1913.79,1733.64,18286766
167,2011-06-17,7165432,3.25,1060.66,343678.8,3.8,47739299.36,15.62917632,44585340.26,26.00583526,89.9004,1914.77,1735.41,18288352
168,2011-06-18,7372098,3.25,1060.22,343678.8,3.8,47811565.87,15.95569834,44568078.91,26.07113967,89.9148,1915.75,1736.8,18289938
169,2011-06-19,6139062,3.25,1059.78,343678.8,3.8,47883832.37,16.28222035,44550817.55,26.13644407,89.9292,1916.22,1737.39,18291524
170,2011-06-20,6643723,3.25,1059.34,343678.8,3.8,47956098.88,16.60874236,44533556.19,26.20174847,89.9436,1917.21,1738.96,18293110
171,2011-06-21,6658196,3.25,1058.9,343678.8,3.8,48028365.38,16.93526438,44516294.83,26.26705288,89.958,1918.73,1741.63,18294697
172,2011-06-22,6363419,3.25,1058.46,343678.8,3.8,48100631.89,17.26178639,44499033.48,26.33235728,89.9724,1919.87,1743.57,18296283
173,2011-06-23,5981398,3.25,1058.02,343678.8,3.8,48172898.39,17.58830841,44481772.12,26.39766168,89.9868,1920.75,1745,18297869
174,2011-06-24,6567194,3.25,1057.58,343678.8,3.8,48245164.9,17.91483042,44464510.76,26.46296608,90.0012,1921.39,1746.06,18299455
175,2011-06-25,6289058,3.25,1057.14,343678.8,3.8,48317431.4,18.24135243,44447249.4,26.52827049,90.0156,1921.84,1746.62,18301041
176,2011-06-26,4476597,3.25,1056.7,343678.8,3.8,48389697.91,18.56787445,44429988.04,26.59357489,90.03,1922.05,1746.84,18302628
177,2011-06-27,6119832,3.25,1056.26,343678.8,3.8,48461964.41,18.89439646,44412726.69,26.65887929,90.0444,1922.47,1747.25,18304214
178,2011-06-28,6543367,3.25,1055.82,343678.8,3.8,48534230.92,19.22091847,44395465.33,26.72418369,90.0588,1921.8,1746.28,18305800
179,2011-06-29,5842066,3.25,1055.38,343678.8,3.8,48606497.42,19.54744049,44378203.97,26.7894881,90.0732,1921.57,1745.87,18307386
180,2011-06-30,6034378,3.25,1054.94,343678.8,3.8,48678763.93,19.8739625,44360942.61,26.8547925,90.0876,1921.43,1745.98,18308972
181,2011-07-01,6920843,3.25,1054.5,349987,3.1,48751030.43,20.20048452,44343681.26,26.9200969,90.102,1921.22,1745.63,18310559
182,2011-07-02,7132061,3.25,1054.896774,349987,3.1,48823296.94,20.52700653,44326419.9,26.98540131,90.12151613,1921.46,1745.78,18311136
183,2011-07-03,4994444,3.25,1055.293548,349987,3.1,48895563.44,20.85352854,44309158.54,27.05070571,90.14103226,1921.63,1745.86,18311713
184,2011-07-04,6308411,3.25,1055.690323,349987,3.1,48924832.62,21.13522225,44304818.9,27.12241416,90.16054839,1921.62,1746.12,18312290
185,2011-07-05,6531080,3.25,1056.087097,349987,3.1,48821715.27,21.27889193,44340264.53,27.21384032,90.18006452,1921.5,1745.8,18312867
186,2011-07-06,6485679,3.25,1056.483871,349987,3.1,48718597.92,21.42256162,44375710.16,27.30526648,90.19958065,1921.86,1746.19,18313444
